Site,Latitude,Longitude,Year,Month,Season,Percent_C1,Percent_C2,Percent_C3,Percent_C4,Percent_C5,Percent_C6
SRS-4,25.40976421,-80.96431016,2021,4,Dry,0.237434397,0.181988811,0.128052365,0.181142237,0.094559373,0.176822817
SRS-4,25.40976421,-80.96431016,2021,5,Dry,0.244970319,0.17956745,0.129494134,0.170618405,0.093764423,0.181585269
SRS-4,25.40976421,-80.96431016,2021,6,Wet,0.248161297,0.182817432,0.127428189,0.166956322,0.093761277,0.180875483
SRS-4,25.40976421,-80.96431016,2021,8,Wet,0.24990771,0.182158818,0.125614829,0.15635138,0.098329224,0.18763804
SRS-4,25.40976421,-80.96431016,2021,11,Wet,0.237261394,0.178917378,0.132124032,0.170278157,0.100384744,0.181034294
SRS-4,25.40976421,-80.96431016,2021,12,Dry,0.241189679,0.173097843,0.133937064,0.182663516,0.095919293,0.173192606
SRS-4,25.40976421,-80.96431016,2022,2,Dry,0.247019138,0.176414546,0.129646685,0.179679733,0.091649997,0.175589901
SRS-4,25.40976421,-80.96431016,2022,3,Dry,0.242078313,0.179450707,0.131218315,0.178434493,0.09640183,0.172416343
SRS-4,25.40976421,-80.96431016,2022,4,Dry,0.240671211,0.18268884,0.132541045,0.174840383,0.097481798,0.171776724
SRS-4,25.40976421,-80.96431016,2022,5,Dry,0.244676123,0.182725066,0.131395392,0.164055023,0.097972719,0.179175676
SRS-4,25.40976421,-80.96431016,2022,6,Wet,0.251558607,0.18594763,0.129456257,0.157542927,0.105273739,0.17022084
SRS-4,25.40976421,-80.96431016,2022,7,Wet,0.150708191,0.261510762,0.17784018,0.23338385,0.12073447,0.055822546
SRS-4,25.40976421,-80.96431016,2022,8,Wet,0.238701344,0.181971978,0.129704369,0.168828292,0.10161374,0.179180277
SRS-4,25.40976421,-80.96431016,2022,9,Wet,0.239240445,0.181237719,0.129027404,0.161994996,0.102393185,0.186106251
SRS-4,25.40976421,-80.96431016,2022,10,Wet,0.248659663,0.183080671,0.132313365,0.153146778,0.106356157,0.176443366
SRS-4,25.40976421,-80.96431016,2022,11,Wet,0.250382467,0.177674588,0.130400617,0.180881507,0.096783872,0.163876949
SRS-4,25.40976421,-80.96431016,2022,12,Dry,0.24442435,0.175636749,0.128567134,0.172442031,0.094589167,0.184340569
SRS-5,25.37702258,-81.03234716,2019,1,Dry,0.24101824,0.183072098,0.125385812,0.173134324,0.095716366,0.181673161
SRS-5,25.37702258,-81.03234716,2019,2,Dry,0.242642847,0.183599134,0.127148125,0.161269681,0.09972256,0.185617652
SRS-5,25.37702258,-81.03234716,2019,3,Dry,0.244162276,0.183160724,0.124804703,0.163791655,0.096502135,0.187578506
SRS-5,25.37702258,-81.03234716,2019,4,Dry,0.234250406,0.189719705,0.12465869,0.151872618,0.100221219,0.199277361
SRS-5,25.37702258,-81.03234716,2019,5,Dry,0.238472185,0.187812411,0.124781227,0.154632625,0.099696052,0.194605501
